reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         0.96142857
 0.74893939 0.35724206 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         0.99375    0.99473684 0.98711779 0.98426333 0.97441331
 0.94960783 0.83349042 0.65523301]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.99428571 0.98942393 0.98441227]"
reaction_time:60ship_height:2000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:60ship_height:3000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:120ship_height:500,"[1.         1.         0.96666667 0.48210012 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1000,"[1.         1.         1.         1.         1.         0.99166667
 0.93154085 0.5313198  0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1500,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.958376   0.9256623  0.55027318
 0.         0.         0.        ]"
reaction_time:120ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.99293941 0.99389725
 0.98132884 0.96984279 0.87917454]"
reaction_time:120ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99916667]"
