reaction_time:60ship_height:500,"[       nan 1.         1.         1.         0.98888889 0.94821429
 0.64294247 0.30716179 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.98944444 0.98295455 0.96854397 0.90038312
 0.80962668 0.65485091 0.4729265 ]"
reaction_time:60ship_height:1500,"[       nan 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.996
 0.99330566 0.98572326 0.98597331]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99795918 0.99824561]"
reaction_time:60ship_height:3000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:120ship_height:500,"[1.         1.         1.         0.48111111 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1000,"[1.         1.         1.         1.         1.         0.97985348
 0.88919037 0.40951782 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1500,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99105292 0.94141101 0.76546215 0.39372401
 0.         0.         0.        ]"
reaction_time:120ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99666667 1.         0.99614815 0.99249426
 0.95997654 0.89986346 0.69758929]"
reaction_time:120ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99541668]"
