reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.03333333 0.08468504
 0.13155805 0.09533848 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.02114763 0.0384521  0.03217024 0.05644951
 0.05365697 0.07691739 0.06247167]"
reaction_time:60ship_height:1500,"[       nan 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.012
 0.01399112 0.01345903 0.01531437]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00612245 0.00526316]"
reaction_time:60ship_height:3000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:120ship_height:500,"[0.         0.         0.         0.25011739 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1000,"[0.         0.         0.         0.         0.         0.0316908
 0.07199889 0.09194323 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01982726 0.02647544 0.05361324 0.07534958
 0.         0.         0.        ]"
reaction_time:120ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01       0.         0.00771082 0.01056094
 0.03400939 0.04643755 0.04361059]"
reaction_time:120ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00639321]"
