reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.08760999
 0.12766983 0.12174588 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.         0.01875    0.01578947 0.02048041 0.01977823 0.01854139
 0.02870473 0.04410185 0.07117865]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01714286 0.01611186 0.01432078]"
reaction_time:60ship_height:2000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:60ship_height:3000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:120ship_height:500,"[0.         0.         0.1        0.12419399 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1000,"[0.         0.         0.         0.         0.         0.025
 0.05629974 0.08235371 0.         0.         0.         0.
 0.         0.         0.        ]"
reaction_time:120ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02232197 0.03476464 0.06372487
 0.         0.         0.        ]"
reaction_time:120ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01115354 0.00749292
 0.01946374 0.01859558 0.02383974]"
reaction_time:120ship_height:3000,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.0025]"
