reaction_time:60ship_height:500,[nan nan  0.  0. nan nan]
reaction_time:60ship_height:1000,[nan nan nan nan nan  0.]
reaction_time:300ship_height:500,[ 0. nan  0.  0. nan  0.]
reaction_time:300ship_height:1000,[ nan  nan 0.   0.   0.25 0.  ]
reaction_time:600ship_height:500,[ 0. nan nan  0.  0.  0.]
reaction_time:600ship_height:1000,[nan 0.5 nan 0.  0.  nan]
