reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.05017158 0.         0.         0.01641593 0.04442891 0.02870131
 0.04402229 0.03644803 0.02670814]"
reaction_time:60ship_height:1000,"[       nan 0.         0.         0.         0.         0.
 0.         0.         0.         0.02845855 0.0203899  0.02202759
 0.02429602 0.02150643 0.02622506]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.01816208 0.         0.01452966 0.03606169 0.01692366 0.02010518
 0.02026386 0.01653625 0.02392496]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.016765   0.         0.02015695 0.02013883
 0.01870711 0.01938862 0.01374117]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01452966 0.01540036 0.         0.01248919
 0.01079971 0.01311793 0.01116105]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.         0.02058002 0.02500731
 0.05575686 0.05111888 0.06893679 0.05697229 0.05683925 0.03997769
 0.04274287 0.03902822 0.03734166]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.         0.02185934 0.0231384
 0.03205458 0.04116223 0.04038017 0.03479836 0.05087597 0.05832434
 0.04404004 0.03984859 0.04516899]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.01638304 0.01897285
 0.02404354 0.03348334 0.03095192 0.03451104 0.03779512 0.04613921
 0.04531972 0.0520921  0.04477647]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.00660439 0.01500746
 0.01359419 0.01903538 0.03394281 0.02788225 0.03045471 0.04399567
 0.03637493 0.04197153 0.03981283]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.01161763
 0.00755127 0.01808927 0.01612335 0.0232485  0.03363783 0.02479906
 0.03125662 0.02866145 0.02909381]"
