reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 0.98375    1.         1.         0.99460227 0.97721866 0.98140522
 0.97877958 0.97242902 0.98023958]"
reaction_time:60ship_height:1000,"[       nan 1.         1.         1.         1.         1.
 1.         1.         1.         0.98633333 0.98988179 0.98951586
 0.98562033 0.97789644 0.98012211]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         1.
 0.99583333 1.         0.99666667 0.98698556 0.99449275 0.99202927
 0.98715963 0.99082799 0.97883075]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99615385 1.         0.99337607 0.99330357
 0.99325564 0.98827807 0.98882873]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99666667 0.99486842 1.         0.99589491
 0.99641026 0.99459922 0.99534778]"
reaction_time:300ship_height:500,"[1.         1.         1.         1.         0.98733618 0.96921793
 0.93607196 0.91206684 0.8331686  0.75965248 0.71418046 0.60089112
 0.48137388 0.38888781 0.29712699]"
reaction_time:300ship_height:1000,"[1.         1.         1.         1.         0.9881657  0.98332767
 0.95706619 0.91780874 0.89548985 0.86868785 0.80035419 0.72144381
 0.6327944  0.5105082  0.4046773 ]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         0.99455882 0.98838085
 0.97693655 0.94537119 0.91876516 0.89496158 0.84183596 0.80438849
 0.71634136 0.6389348  0.54590142]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         0.99848485 0.99189085
 0.98934613 0.97762344 0.95377547 0.94099083 0.89671901 0.86331237
 0.82548522 0.79049679 0.71873422]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         0.99521362
 0.9975     0.98767557 0.9821324  0.96048173 0.94889033 0.93894897
 0.92411532 0.90510218 0.87273032]"
