reaction_time:151ship_height:500,[0.01825259]
reaction_time:152ship_height:500,[0.0219873]
reaction_time:153ship_height:500,[0.01503076]
reaction_time:154ship_height:500,[0.0179093]
reaction_time:155ship_height:500,[0.01960369]
reaction_time:156ship_height:500,[0.01902484]
reaction_time:157ship_height:500,[0.02070532]
reaction_time:158ship_height:500,[0.01072204]
reaction_time:159ship_height:500,[0.01986824]
reaction_time:160ship_height:500,[0.0144888]
reaction_time:161ship_height:500,[0.02081123]
reaction_time:162ship_height:500,[0.024876]
reaction_time:163ship_height:500,[0.0210447]
reaction_time:164ship_height:500,[0.02055589]
reaction_time:165ship_height:500,[0.02370519]
reaction_time:166ship_height:500,[0.02240878]
reaction_time:167ship_height:500,[0.01994162]
reaction_time:168ship_height:500,[0.02933944]
reaction_time:169ship_height:500,[0.02296058]
reaction_time:170ship_height:500,[0.0203484]
reaction_time:171ship_height:500,[0.01780671]
reaction_time:172ship_height:500,[0.02780569]
reaction_time:173ship_height:500,[0.01644834]
reaction_time:174ship_height:500,[0.01831631]
reaction_time:175ship_height:500,[0.01459643]
reaction_time:176ship_height:500,[0.0250585]
reaction_time:177ship_height:500,[0.02405557]
reaction_time:178ship_height:500,[0.02044783]
reaction_time:179ship_height:500,[0.01828586]
reaction_time:180ship_height:500,[0.02106407]
reaction_time:181ship_height:500,[0.02078471]
reaction_time:182ship_height:500,[0.02818396]
reaction_time:183ship_height:500,[0.01708301]
reaction_time:184ship_height:500,[0.01715262]
reaction_time:185ship_height:500,[0.02085616]
reaction_time:186ship_height:500,[0.02145592]
reaction_time:187ship_height:500,[0.01670785]
reaction_time:188ship_height:500,[0.01852718]
reaction_time:189ship_height:500,[0.02263511]
reaction_time:190ship_height:500,[0.02059327]
reaction_time:191ship_height:500,[0.01988613]
reaction_time:192ship_height:500,[0.02580884]
reaction_time:193ship_height:500,[0.02201103]
reaction_time:194ship_height:500,[0.02442658]
reaction_time:195ship_height:500,[0.02334909]
reaction_time:196ship_height:500,[0.02206929]
reaction_time:197ship_height:500,[0.02166474]
reaction_time:198ship_height:500,[0.02908277]
reaction_time:199ship_height:500,[0.02110302]
reaction_time:200ship_height:500,[0.01816037]
reaction_time:201ship_height:500,[0.01962973]
reaction_time:202ship_height:500,[0.02231921]
reaction_time:203ship_height:500,[0.02273348]
reaction_time:204ship_height:500,[0.02154332]
reaction_time:205ship_height:500,[0.02177746]
reaction_time:206ship_height:500,[0.02023776]
reaction_time:207ship_height:500,[0.02218029]
reaction_time:208ship_height:500,[0.02694546]
reaction_time:209ship_height:500,[0.01612472]
reaction_time:210ship_height:500,[0.02338507]
reaction_time:211ship_height:500,[0.02125492]
reaction_time:212ship_height:500,[0.01983553]
reaction_time:213ship_height:500,[0.0221111]
reaction_time:214ship_height:500,[0.02275542]
reaction_time:215ship_height:500,[0.01858596]
reaction_time:216ship_height:500,[0.01782656]
reaction_time:217ship_height:500,[0.01997815]
reaction_time:218ship_height:500,[0.01787912]
reaction_time:219ship_height:500,[0.02106829]
reaction_time:220ship_height:500,[0.02343685]
reaction_time:221ship_height:500,[0.02949604]
reaction_time:222ship_height:500,[0.02407176]
reaction_time:223ship_height:500,[0.02353806]
reaction_time:224ship_height:500,[0.02154049]
reaction_time:225ship_height:500,[0.02610221]
reaction_time:226ship_height:500,[0.02363291]
reaction_time:227ship_height:500,[0.02365297]
reaction_time:228ship_height:500,[0.02041333]
reaction_time:229ship_height:500,[0.0274834]
reaction_time:230ship_height:500,[0.0221243]
reaction_time:231ship_height:500,[0.02324683]
reaction_time:232ship_height:500,[0.02194224]
reaction_time:233ship_height:500,[0.02603558]
reaction_time:234ship_height:500,[0.02322752]
reaction_time:235ship_height:500,[0.02025789]
reaction_time:236ship_height:500,[0.02340956]
reaction_time:237ship_height:500,[0.01964435]
reaction_time:238ship_height:500,[0.02117298]
reaction_time:239ship_height:500,[0.02483202]
reaction_time:240ship_height:500,[0.02751701]
reaction_time:241ship_height:500,[0.02434179]
reaction_time:242ship_height:500,[0.02369351]
reaction_time:243ship_height:500,[0.02669296]
reaction_time:244ship_height:500,[0.0239435]
reaction_time:245ship_height:500,[0.02296761]
reaction_time:246ship_height:500,[0.02676151]
reaction_time:247ship_height:500,[0.02289757]
reaction_time:248ship_height:500,[0.02541299]
reaction_time:249ship_height:500,[0.02784203]
reaction_time:250ship_height:500,[0.02679917]
reaction_time:251ship_height:500,[0.02582568]
reaction_time:252ship_height:500,[0.02472386]
reaction_time:253ship_height:500,[0.0204113]
reaction_time:254ship_height:500,[0.02599659]
reaction_time:255ship_height:500,[0.02384124]
reaction_time:256ship_height:500,[0.0281815]
reaction_time:257ship_height:500,[0.02299632]
reaction_time:258ship_height:500,[0.02000333]
reaction_time:259ship_height:500,[0.02482107]
reaction_time:260ship_height:500,[0.02010539]
reaction_time:261ship_height:500,[0.02635136]
reaction_time:262ship_height:500,[0.02650614]
reaction_time:263ship_height:500,[0.02571786]
reaction_time:264ship_height:500,[0.02682483]
reaction_time:265ship_height:500,[0.0264417]
reaction_time:266ship_height:500,[0.02486796]
reaction_time:267ship_height:500,[0.02128614]
reaction_time:268ship_height:500,[0.02515436]
reaction_time:269ship_height:500,[0.02434453]
reaction_time:270ship_height:500,[0.02656284]
reaction_time:271ship_height:500,[0.02431349]
reaction_time:272ship_height:500,[0.02674281]
reaction_time:273ship_height:500,[0.02516392]
reaction_time:274ship_height:500,[0.02271789]
reaction_time:275ship_height:500,[0.02261006]
reaction_time:276ship_height:500,[0.02259842]
reaction_time:277ship_height:500,[0.02270192]
reaction_time:278ship_height:500,[0.02480755]
reaction_time:279ship_height:500,[0.02569551]
reaction_time:280ship_height:500,[0.02561684]
reaction_time:281ship_height:500,[0.02438202]
