reaction_time:0ship_height:500,[nan]
reaction_time:1ship_height:500,[1.]
reaction_time:2ship_height:500,[1.]
reaction_time:3ship_height:500,[1.]
reaction_time:4ship_height:500,[1.]
reaction_time:5ship_height:500,[1.]
reaction_time:6ship_height:500,[1.]
reaction_time:7ship_height:500,[1.]
reaction_time:8ship_height:500,[1.]
reaction_time:9ship_height:500,[1.]
reaction_time:10ship_height:500,[1.]
reaction_time:11ship_height:500,[1.]
reaction_time:12ship_height:500,[1.]
reaction_time:13ship_height:500,[1.]
reaction_time:14ship_height:500,[1.]
reaction_time:15ship_height:500,[1.]
reaction_time:16ship_height:500,[1.]
reaction_time:17ship_height:500,[1.]
reaction_time:18ship_height:500,[1.]
reaction_time:19ship_height:500,[0.99591837]
reaction_time:20ship_height:500,[0.9893617]
reaction_time:21ship_height:500,[1.]
reaction_time:22ship_height:500,[1.]
reaction_time:23ship_height:500,[1.]
reaction_time:24ship_height:500,[1.]
reaction_time:25ship_height:500,[0.99773243]
reaction_time:26ship_height:500,[0.99829932]
reaction_time:27ship_height:500,[1.]
reaction_time:28ship_height:500,[0.99659864]
reaction_time:29ship_height:500,[1.]
reaction_time:30ship_height:500,[1.]
reaction_time:31ship_height:500,[0.99666667]
reaction_time:32ship_height:500,[1.]
reaction_time:33ship_height:500,[1.]
reaction_time:34ship_height:500,[1.]
reaction_time:35ship_height:500,[0.996]
reaction_time:36ship_height:500,[0.99857143]
reaction_time:37ship_height:500,[1.]
reaction_time:38ship_height:500,[0.99512821]
reaction_time:39ship_height:500,[1.]
reaction_time:40ship_height:500,[1.]
reaction_time:41ship_height:500,[1.]
reaction_time:42ship_height:500,[1.]
reaction_time:43ship_height:500,[1.]
reaction_time:44ship_height:500,[1.]
reaction_time:45ship_height:500,[0.99721154]
reaction_time:46ship_height:500,[0.99714286]
reaction_time:47ship_height:500,[0.99846154]
reaction_time:48ship_height:500,[0.998]
reaction_time:49ship_height:500,[1.]
reaction_time:50ship_height:500,[0.99644737]
reaction_time:51ship_height:500,[1.]
reaction_time:52ship_height:500,[1.]
reaction_time:53ship_height:500,[0.99527778]
reaction_time:54ship_height:500,[0.99623932]
reaction_time:55ship_height:500,[0.99444737]
