reaction_time:0ship_height:500,[nan]
reaction_time:150ship_height:500,[0.98120976]
reaction_time:151ship_height:500,[0.97929335]
reaction_time:152ship_height:500,[0.98043545]
reaction_time:153ship_height:500,[0.98278603]
reaction_time:154ship_height:500,[0.97913572]
reaction_time:155ship_height:500,[0.98205443]
reaction_time:156ship_height:500,[0.98069509]
reaction_time:157ship_height:500,[0.9791223]
reaction_time:158ship_height:500,[0.98185749]
reaction_time:159ship_height:500,[0.97719371]
reaction_time:160ship_height:500,[0.9786774]
reaction_time:161ship_height:500,[0.97892357]
reaction_time:162ship_height:500,[0.98320832]
reaction_time:163ship_height:500,[0.97622204]
reaction_time:164ship_height:500,[0.98255503]
reaction_time:165ship_height:500,[0.97938256]
reaction_time:166ship_height:500,[0.98249389]
reaction_time:167ship_height:500,[0.97680508]
reaction_time:168ship_height:500,[0.97049637]
reaction_time:169ship_height:500,[0.976224]
reaction_time:170ship_height:500,[0.97636421]
reaction_time:171ship_height:500,[0.98183041]
reaction_time:172ship_height:500,[0.97659404]
reaction_time:173ship_height:500,[0.97848137]
reaction_time:174ship_height:500,[0.98050406]
reaction_time:175ship_height:500,[0.97953684]
reaction_time:176ship_height:500,[0.98334328]
reaction_time:177ship_height:500,[0.98007601]
reaction_time:178ship_height:500,[0.97921375]
reaction_time:179ship_height:500,[0.97876734]
reaction_time:180ship_height:500,[0.98236487]
reaction_time:181ship_height:500,[0.96865438]
reaction_time:182ship_height:500,[0.97389782]
reaction_time:183ship_height:500,[0.97790271]
reaction_time:184ship_height:500,[0.97212781]
reaction_time:185ship_height:500,[0.98203923]
reaction_time:186ship_height:500,[0.9759128]
reaction_time:187ship_height:500,[0.97892884]
reaction_time:188ship_height:500,[0.9789149]
reaction_time:189ship_height:500,[0.97583658]
reaction_time:190ship_height:500,[0.97959127]
reaction_time:191ship_height:500,[0.98193344]
reaction_time:192ship_height:500,[0.97128639]
reaction_time:193ship_height:500,[0.97659788]
reaction_time:194ship_height:500,[0.979147]
reaction_time:195ship_height:500,[0.97721236]
reaction_time:196ship_height:500,[0.97405365]
reaction_time:197ship_height:500,[0.97457629]
