Case Description,Case #,epoch number,run time (s),grid width (m),ship height (m),ship number,ship speeds (m/s),ship heading (deg),angle of detection (deg),data detection function,ship reaction time #1 (s),ship reaction time #2 (s),ship reaction time #3 (s),whale number,mean whale velocity (m/s),std whale velocity (m/s),Interval btw blows (s),All whales blow,All whales surface,All whales subsurface,All whales deep,dive profile mode,plot probabilities,plot world,ETA display,Keep?
IBI_300_DDR_mixed,case1,2,600,4000,"500,1000",2,"4,5,6,7,8,9",90,20,1,60,300,600,2,1,0.2,300,0,0,0,0,mixed,1,1,1,K
IBI_30_RDR_shallow,case2,2,600,4000,"500,1000",2,"4,5,6,7,8,9",90,20,0,60,300,600,2,1,0.2,30,0,0,0,0,shallow,1,1,1,K
